iter	Passed	Remaining
1513	34089	10942
1514	34111	10920
1515	34134	10897
1516	34153	10874
1517	34181	10853
1518	34207	10831
1519	34231	10809
1520	34257	10788
1521	34283	10767
1522	34305	10744
1523	34326	10721
1524	34351	10699
1525	34371	10676
1526	34393	10653
1527	34409	10629
1528	34435	10607
1529	34456	10584
1530	34479	10562
1531	34502	10539
1532	34524	10517
1533	34546	10494
1534	34562	10470
1535	34580	10446
1536	34598	10422
1537	34620	10399
1538	34647	10378
1539	34667	10355
1540	34688	10332
1541	34709	10309
1542	34732	10287
1543	34757	10265
1544	34774	10241
1545	34801	10219
1546	34822	10196
1547	34845	10174
1548	34863	10150
1549	34884	10127
1550	34914	10107
1551	34932	10083
1552	34958	10062
1553	34991	10042
1554	35019	10021
1555	35039	9998
1556	35061	9975
1557	35081	9952
1558	35104	9930
1559	35127	9907
1560	35150	9885
1561	35170	9862
1562	35189	9838
1563	35212	9816
1564	35237	9794
1565	35262	9772
1566	35279	9748
1567	35306	9727
1568	35324	9703
1569	35345	9680
1570	35368	9658
1571	35388	9635
1572	35404	9610
1573	35423	9587
1574	35447	9565
1575	35475	9544
1576	35498	9521
1577	35519	9498
1578	35541	9476
1579	35561	9453
1580	35578	9429
1581	35598	9406
1582	35618	9382
1583	35637	9359
1584	35661	9337
1585	35683	9314
1586	35704	9291
1587	35723	9268
1588	35742	9244
1589	35769	9223
1590	35794	9201
1591	35817	9179
1592	35836	9155
1593	35865	9135
1594	35888	9112
1595	35910	9090
1596	35933	9067
1597	35958	9045
1598	35978	9022
1599	36003	9000
1600	36022	8977
1601	36049	8956
1602	36078	8935
1603	36094	8911
1604	36115	8888
1605	36132	8864
1606	36153	8841
1607	36169	8817
1608	36191	8794
1609	36210	8771
1610	36227	8747
1611	36252	8725
1612	36273	8703
1613	36294	8680
1614	36319	8658
1615	36342	8635
1616	36362	8612
1617	36383	8589
1618	36409	8568
1619	36430	8545
1620	36453	8523
1621	36480	8501
1622	36507	8480
1623	36530	8457
1624	36556	8436
1625	36574	8412
1626	36598	8390
1627	36621	8367
1628	36636	8343
1629	36660	8321
1630	36684	8299
1631	36709	8277
1632	36728	8254
1633	36752	8232
1634	36775	8209
1635	36799	8187
1636	36823	8165
1637	36848	8143
1638	36870	8120
1639	36893	8098
1640	36920	8077
1641	36945	8055
1642	36966	8032
1643	36991	8010
1644	37014	7987
1645	37035	7965
1646	37056	7942
1647	37082	7920
1648	37102	7897
1649	37120	7874
1650	37143	7851
1651	37160	7828
1652	37181	7805
1653	37196	7781
1654	37216	7758
1655	37243	7736
1656	37267	7714
1657	37289	7691
1658	37310	7669
1659	37338	7647
1660	37364	7625
